food_id,batch_id,source,source_food_id,name,category,source_url
FC001810,batch-1,FNRI,A029,"Biscuit, cocohoney","Rice, Grains & Bakery",https://i.fnri.dost.gov.ph/fct/library/report/2991
FC001811,batch-1,FNRI,D056,Coconut cotyledon,Vegetables,https://i.fnri.dost.gov.ph/fct/library/report/3335
FC001812,batch-1,FNRI,D057,"Coconut, heart of palm",Vegetables,https://i.fnri.dost.gov.ph/fct/library/report/3336
FC001813,batch-1,FNRI,D090,Himbaba-o flower,Vegetables,https://i.fnri.dost.gov.ph/fct/library/report/3369
FC001814,batch-1,FNRI,D091,"Himbaba-o flower, boiled",Vegetables,https://i.fnri.dost.gov.ph/fct/library/report/3370
FC001815,batch-1,FNRI,D281,"Mustard lvs, pickled",Vegetables,https://i.fnri.dost.gov.ph/fct/library/report/3560
FC001816,batch-1,FNRI,D282,"Mustard lvs, salted",Vegetables,https://i.fnri.dost.gov.ph/fct/library/report/3561
FC001817,batch-1,FNRI,D283,"Olive, green, in brine",Vegetables,https://i.fnri.dost.gov.ph/fct/library/report/3562
FC001818,batch-1,FNRI,D284,"Olive, ripe, in brine",Vegetables,https://i.fnri.dost.gov.ph/fct/library/report/3563
FC001819,batch-1,FNRI,D286,Pickle relish,Vegetables,https://i.fnri.dost.gov.ph/fct/library/report/3565
FC001820,batch-1,FNRI,D287,"Pickles, mixed",Vegetables,https://i.fnri.dost.gov.ph/fct/library/report/3566
FC001821,batch-1,FNRI,D289,"Pickles, whole, gherkins",Vegetables,https://i.fnri.dost.gov.ph/fct/library/report/3568
FC001822,batch-1,FNRI,D290,"Pimiento, cnd",Vegetables,https://i.fnri.dost.gov.ph/fct/library/report/3569
FC001823,batch-1,FNRI,D292,"Radish, salted, cnd",Vegetables,https://i.fnri.dost.gov.ph/fct/library/report/3571
FC001824,batch-1,FNRI,D295,"Batwan, immature fruit, raw",Vegetables,https://i.fnri.dost.gov.ph/fct/library/report/3574
FC001825,batch-1,FNRI,E098,"Banana cracker, sweetn",Fruits,https://i.fnri.dost.gov.ph/fct/library/report/3680
FC001826,batch-1,FNRI,E106,Dikyam,Fruits,https://i.fnri.dost.gov.ph/fct/library/report/3688
FC001827,batch-1,FNRI,F002,"Beef blood, bbq",Meat & Poultry,https://i.fnri.dost.gov.ph/fct/library/report/3709
FC001828,batch-1,FNRI,F098,"Chicken head, bbq",Meat & Poultry,https://i.fnri.dost.gov.ph/fct/library/report/3805
FC001829,batch-1,FNRI,F217,Beef spread,Meat & Poultry,https://i.fnri.dost.gov.ph/fct/library/report/3924
FC001830,batch-1,FNRI,F218,"Beef, sweet cured",Meat & Poultry,https://i.fnri.dost.gov.ph/fct/library/report/3925
FC001831,batch-1,FNRI,F230,"Ham, deviled spread",Meat & Poultry,https://i.fnri.dost.gov.ph/fct/library/report/3937
FC001832,batch-1,FNRI,F236,"Luncheon meat, deviled spread",Meat & Poultry,https://i.fnri.dost.gov.ph/fct/library/report/3943
FC001833,batch-1,FNRI,F247,"Potted meat spread, w/ cereal, cnd",Meat & Poultry,https://i.fnri.dost.gov.ph/fct/library/report/3954
FC001834,batch-1,FNRI,F248,"Sausage, bologna",Meat & Poultry,https://i.fnri.dost.gov.ph/fct/library/report/3955
FC001835,batch-1,FNRI,F251,"Sausage, frankfurter",Meat & Poultry,https://i.fnri.dost.gov.ph/fct/library/report/3958
FC001836,batch-1,FNRI,F252,"Sausage, ham",Meat & Poultry,https://i.fnri.dost.gov.ph/fct/library/report/3959
FC001837,batch-1,FNRI,F256,"Sausage, mortadella",Meat & Poultry,https://i.fnri.dost.gov.ph/fct/library/report/3963
FC001838,batch-1,FNRI,F260,"Sausage, salami",Meat & Poultry,https://i.fnri.dost.gov.ph/fct/library/report/3967
FC001839,batch-1,FNRI,F262,"Sausage, Vienna, tidbits",Meat & Poultry,https://i.fnri.dost.gov.ph/fct/library/report/3969
FC001840,batch-1,FNRI,F264,"Chicken blood, bbq",Meat & Poultry,https://i.fnri.dost.gov.ph/fct/library/report/3971
FC001841,batch-1,FNRI,F271,"Pork skin, seasoned, roasted",Meat & Poultry,https://i.fnri.dost.gov.ph/fct/library/report/3978
FC001842,batch-1,FNRI,G230,"Tuna spread, cnd",Fish & Seafood,https://i.fnri.dost.gov.ph/fct/library/report/4210
FC001843,batch-1,FNRI,M001,"Breadfruit, candied",Sweets & Sweeteners,https://i.fnri.dost.gov.ph/fct/library/report/4272
FC001844,batch-1,FNRI,M003,"Candy bar, pili nut",Sweets & Sweeteners,https://i.fnri.dost.gov.ph/fct/library/report/4274
FC001845,batch-1,FNRI,M007,"Candy, pili nut",Sweets & Sweeteners,https://i.fnri.dost.gov.ph/fct/library/report/4278
FC001846,batch-1,FNRI,M008,"Candy, pulled",Sweets & Sweeteners,https://i.fnri.dost.gov.ph/fct/library/report/4279
FC001847,batch-1,FNRI,M010,"Carageenan gel, assorted fruit-flvr",Sweets & Sweeteners,https://i.fnri.dost.gov.ph/fct/library/report/4281
FC001848,batch-1,FNRI,M011,Caramelo,Sweets & Sweeteners,https://i.fnri.dost.gov.ph/fct/library/report/4282
FC001849,batch-1,FNRI,M017,"Fudge, durian",Sweets & Sweeteners,https://i.fnri.dost.gov.ph/fct/library/report/4288
FC001850,batch-1,FNRI,M018,"Fudge, jackfruit",Sweets & Sweeteners,https://i.fnri.dost.gov.ph/fct/library/report/4289
FC001851,batch-1,FNRI,M024,"Jam, jackfruit & pineapple, cnd",Sweets & Sweeteners,https://i.fnri.dost.gov.ph/fct/library/report/4295
FC001852,batch-1,FNRI,M030,"Jelly, pineapple",Sweets & Sweeteners,https://i.fnri.dost.gov.ph/fct/library/report/4301
FC001853,batch-1,FNRI,M032,Masareal,Sweets & Sweeteners,https://i.fnri.dost.gov.ph/fct/library/report/4303
FC001854,batch-1,FNRI,M034,"Milk choc bar, orange crunch",Sweets & Sweeteners,https://i.fnri.dost.gov.ph/fct/library/report/4305
FC001855,batch-1,FNRI,M036,"Nata de piña, sweetn",Sweets & Sweeteners,https://i.fnri.dost.gov.ph/fct/library/report/4307
FC001856,batch-1,FNRI,M047,Syrup,Sweets & Sweeteners,https://i.fnri.dost.gov.ph/fct/library/report/4318
FC001857,batch-1,FNRI,M050,"Wax gourd, candied",Sweets & Sweeteners,https://i.fnri.dost.gov.ph/fct/library/report/4321
FC001858,batch-1,FNRI,M015,"Coconut meat, grated, sweetn",Sweets & Sweeteners,https://i.fnri.dost.gov.ph/fct/library/report/4836
FC001859,batch-1,USDA,169642,Jellies,Sweets & Desserts,https://fdc.nal.usda.gov/food-details/169642/nutrients
FC001860,batch-1,USDA,168820,Molasses,Sweets & Desserts,https://fdc.nal.usda.gov/food-details/168820/nutrients
FC001861,batch-1,USDA,167743,"Syrup, Cane",Sweets & Desserts,https://fdc.nal.usda.gov/food-details/167743/nutrients
FC001862,batch-1,USDA,167990,"Candies, hard",Sweets & Desserts,https://fdc.nal.usda.gov/food-details/167990/nutrients
FC001863,batch-1,USDA,167577,"Sherbet, orange",Sweets & Desserts,https://fdc.nal.usda.gov/food-details/167577/nutrients
FC001864,batch-1,USDA,170281,"Candies, Tamarind",Sweets & Desserts,https://fdc.nal.usda.gov/food-details/170281/nutrients
FC001865,batch-1,USDA,167974,"Candies, caramels",Sweets & Desserts,https://fdc.nal.usda.gov/food-details/167974/nutrients
FC001866,batch-1,USDA,168819,"Marmalade, orange",Sweets & Desserts,https://fdc.nal.usda.gov/food-details/168819/nutrients
FC001867,batch-1,USDA,167991,"Candies, jellybeans",Sweets & Desserts,https://fdc.nal.usda.gov/food-details/167991/nutrients
FC001868,batch-1,USDA,169585,"Candies, peanut bar",Sweets & Desserts,https://fdc.nal.usda.gov/food-details/169585/nutrients
FC001869,batch-1,USDA,167575,"Ice creams, vanilla",Sweets & Desserts,https://fdc.nal.usda.gov/food-details/167575/nutrients
FC001870,batch-1,USDA,169665,"Toppings, pineapple",Sweets & Desserts,https://fdc.nal.usda.gov/food-details/169665/nutrients
FC001871,batch-1,USDA,168758,"Toppings, strawberry",Sweets & Desserts,https://fdc.nal.usda.gov/food-details/168758/nutrients
FC001872,batch-1,USDA,167972,"Candies, butterscotch",Sweets & Desserts,https://fdc.nal.usda.gov/food-details/167972/nutrients
FC001873,batch-1,USDA,168809,"Ice creams, chocolate",Sweets & Desserts,https://fdc.nal.usda.gov/food-details/168809/nutrients
FC001874,batch-1,USDA,167957,"Syrup, fruit flavored",Sweets & Desserts,https://fdc.nal.usda.gov/food-details/167957/nutrients
FC001875,batch-1,USDA,169588,"Candies, sesame crunch",Sweets & Desserts,https://fdc.nal.usda.gov/food-details/169588/nutrients
FC001876,batch-1,USDA,168810,"Ice creams, strawberry",Sweets & Desserts,https://fdc.nal.usda.gov/food-details/168810/nutrients
FC001877,batch-1,USDA,170276,"Syrup, maple, Canadian",Sweets & Desserts,https://fdc.nal.usda.gov/food-details/170276/nutrients
FC001878,batch-1,USDA,167587,"Candies, milk chocolate",Sweets & Desserts,https://fdc.nal.usda.gov/food-details/167587/nutrients
FC001879,batch-1,USDA,169666,"Toppings, nuts in syrup",Sweets & Desserts,https://fdc.nal.usda.gov/food-details/169666/nutrients
FC001880,batch-1,USDA,167977,"Candies, sweet chocolate",Sweets & Desserts,https://fdc.nal.usda.gov/food-details/167977/nutrients
FC001881,batch-1,USDA,167571,"Candies, white chocolate",Sweets & Desserts,https://fdc.nal.usda.gov/food-details/167571/nutrients
FC001882,batch-1,USDA,168104,"Frozen yogurts, chocolate",Sweets & Desserts,https://fdc.nal.usda.gov/food-details/168104/nutrients
FC001883,batch-1,USDA,167573,"Ice creams, vanilla, rich",Sweets & Desserts,https://fdc.nal.usda.gov/food-details/167573/nutrients
FC001884,batch-1,USDA,167572,"Ice creams, vanilla, light",Sweets & Desserts,https://fdc.nal.usda.gov/food-details/167572/nutrients
FC001885,batch-1,USDA,167973,"Candies, carob, unsweetened",Sweets & Desserts,https://fdc.nal.usda.gov/food-details/167973/nutrients
FC001886,batch-1,USDA,168136,"Ice creams, chocolate, rich",Sweets & Desserts,https://fdc.nal.usda.gov/food-details/168136/nutrients
FC001887,batch-1,USDA,168822,"Pie fillings, apple, canned",Sweets & Desserts,https://fdc.nal.usda.gov/food-details/168822/nutrients
FC001888,batch-1,USDA,169659,"Syrups, corn, high-fructose",Sweets & Desserts,https://fdc.nal.usda.gov/food-details/169659/nutrients
FC001889,batch-1,USDA,167976,"Candies, semisweet chocolate",Sweets & Desserts,https://fdc.nal.usda.gov/food-details/167976/nutrients
FC001890,batch-1,USDA,167585,"Ice creams, chocolate, light",Sweets & Desserts,https://fdc.nal.usda.gov/food-details/167585/nutrients
FC001891,batch-1,USDA,168824,"Pie fillings, canned, cherry",Sweets & Desserts,https://fdc.nal.usda.gov/food-details/168824/nutrients
FC001892,batch-1,USDA,168782,"Puddings, rice, ready-to-eat",Sweets & Desserts,https://fdc.nal.usda.gov/food-details/168782/nutrients
FC001893,batch-1,USDA,167541,"Snacks, fruit leather, rolls",Sweets & Desserts,https://fdc.nal.usda.gov/food-details/167541/nutrients
