food_id,batch_id,source,source_food_id,name,category,source_url
FC000648,batch-1,FNRI,A033,"Bread, cinnamon roll","Rice, Grains & Bakery",https://i.fnri.dost.gov.ph/fct/library/report/2995
FC000649,batch-1,FNRI,A034,"Bread, hotdog roll","Rice, Grains & Bakery",https://i.fnri.dost.gov.ph/fct/library/report/2996
FC000650,batch-1,FNRI,A035,"Bread, toasted, w/ margarine-sugar topping","Rice, Grains & Bakery",https://i.fnri.dost.gov.ph/fct/library/report/2997
FC000651,batch-1,FNRI,A036,"Bread, mung bean loaf","Rice, Grains & Bakery",https://i.fnri.dost.gov.ph/fct/library/report/2998
FC000652,batch-1,FNRI,A037,"Bread, pan de bonete","Rice, Grains & Bakery",https://i.fnri.dost.gov.ph/fct/library/report/2999
FC000653,batch-1,FNRI,A040,"Bread, pan de limon","Rice, Grains & Bakery",https://i.fnri.dost.gov.ph/fct/library/report/3002
FC000654,batch-1,FNRI,A043,"Bread, raisin","Rice, Grains & Bakery",https://i.fnri.dost.gov.ph/fct/library/report/3005
FC000655,batch-1,FNRI,A044,"Bread, rye","Rice, Grains & Bakery",https://i.fnri.dost.gov.ph/fct/library/report/3006
FC000656,batch-1,FNRI,A046,"Bread, sweet roll w/ mung bean filling","Rice, Grains & Bakery",https://i.fnri.dost.gov.ph/fct/library/report/3008
FC000657,batch-1,FNRI,A050,"Cake, angel food","Rice, Grains & Bakery",https://i.fnri.dost.gov.ph/fct/library/report/3012
FC000658,batch-1,FNRI,A052,"Cake, butter","Rice, Grains & Bakery",https://i.fnri.dost.gov.ph/fct/library/report/3014
FC000659,batch-1,FNRI,A053,"Cake, cheese cupcake","Rice, Grains & Bakery",https://i.fnri.dost.gov.ph/fct/library/report/3015
FC000660,batch-1,FNRI,A054,"Cake, chiffon","Rice, Grains & Bakery",https://i.fnri.dost.gov.ph/fct/library/report/3016
FC000661,batch-1,FNRI,A055,"Cake, chocolate","Rice, Grains & Bakery",https://i.fnri.dost.gov.ph/fct/library/report/3017
FC000662,batch-1,FNRI,A057,"Cake, fruit","Rice, Grains & Bakery",https://i.fnri.dost.gov.ph/fct/library/report/3019
FC000663,batch-1,FNRI,A061,"Cake, mamon, toasted","Rice, Grains & Bakery",https://i.fnri.dost.gov.ph/fct/library/report/3023
FC000664,batch-1,FNRI,A065,"Cake, sponge","Rice, Grains & Bakery",https://i.fnri.dost.gov.ph/fct/library/report/3027
FC000665,batch-1,FNRI,A083,"Cookies, apas","Rice, Grains & Bakery",https://i.fnri.dost.gov.ph/fct/library/report/3045
FC000666,batch-1,FNRI,A084,"Cookies, arrowroot","Rice, Grains & Bakery",https://i.fnri.dost.gov.ph/fct/library/report/3046
FC000667,batch-1,FNRI,A086,"Cookies, brownies","Rice, Grains & Bakery",https://i.fnri.dost.gov.ph/fct/library/report/3048
FC000668,batch-1,FNRI,A087,"Cookies, butter","Rice, Grains & Bakery",https://i.fnri.dost.gov.ph/fct/library/report/3049
FC000669,batch-1,FNRI,A090,"Cookies, jacobina special","Rice, Grains & Bakery",https://i.fnri.dost.gov.ph/fct/library/report/3052
FC000670,batch-1,FNRI,A091,"Cookies, lady finger","Rice, Grains & Bakery",https://i.fnri.dost.gov.ph/fct/library/report/3053
FC000671,batch-1,FNRI,A092,"Cookies, marie","Rice, Grains & Bakery",https://i.fnri.dost.gov.ph/fct/library/report/3054
FC000672,batch-1,FNRI,A093,"Cookies, ogoy-ogoy","Rice, Grains & Bakery",https://i.fnri.dost.gov.ph/fct/library/report/3055
FC000673,batch-1,FNRI,A095,"Cookies, pasencia","Rice, Grains & Bakery",https://i.fnri.dost.gov.ph/fct/library/report/3057
FC000674,batch-1,FNRI,A097,"Cookies, pilipit","Rice, Grains & Bakery",https://i.fnri.dost.gov.ph/fct/library/report/3059
FC000675,batch-1,FNRI,A098,"Cookies, polvoron","Rice, Grains & Bakery",https://i.fnri.dost.gov.ph/fct/library/report/3060
FC000676,batch-1,FNRI,A103,"Corn flakes, enr","Rice, Grains & Bakery",https://i.fnri.dost.gov.ph/fct/library/report/3065
FC000677,batch-1,FNRI,A104,Corn pudding,"Rice, Grains & Bakery",https://i.fnri.dost.gov.ph/fct/library/report/3066
FC000678,batch-1,FNRI,A106,"Corn pudding, maja, yellow","Rice, Grains & Bakery",https://i.fnri.dost.gov.ph/fct/library/report/3068
FC000679,batch-1,FNRI,A108,"Corn, fried, seasoned","Rice, Grains & Bakery",https://i.fnri.dost.gov.ph/fct/library/report/3070
FC000680,batch-1,FNRI,A109,"Corn, whole kernel, cnd","Rice, Grains & Bakery",https://i.fnri.dost.gov.ph/fct/library/report/3071
FC000681,batch-1,FNRI,A110,Cornstarch,"Rice, Grains & Bakery",https://i.fnri.dost.gov.ph/fct/library/report/3072
FC000682,batch-1,FNRI,A111,"Cracker, egg","Rice, Grains & Bakery",https://i.fnri.dost.gov.ph/fct/library/report/3073
FC000683,batch-1,FNRI,A112,"Cracker, graham, honey-flvr","Rice, Grains & Bakery",https://i.fnri.dost.gov.ph/fct/library/report/3074
FC000684,batch-1,FNRI,A113,"Cracker, plain","Rice, Grains & Bakery",https://i.fnri.dost.gov.ph/fct/library/report/3075
FC000685,batch-1,FNRI,A114,"Cracker, salted","Rice, Grains & Bakery",https://i.fnri.dost.gov.ph/fct/library/report/3076
FC000686,batch-1,FNRI,A115,"Cracker, salted, round","Rice, Grains & Bakery",https://i.fnri.dost.gov.ph/fct/library/report/3077
FC000687,batch-1,FNRI,A116,Cream puff,"Rice, Grains & Bakery",https://i.fnri.dost.gov.ph/fct/library/report/3078
FC000688,batch-1,FNRI,A124,"Doughnut, fried, w/ sugar","Rice, Grains & Bakery",https://i.fnri.dost.gov.ph/fct/library/report/3086
FC000689,batch-1,FNRI,A137,"Noodles, rice","Rice, Grains & Bakery",https://i.fnri.dost.gov.ph/fct/library/report/3099
FC000690,batch-1,FNRI,A141,"Noodles, wheat, mami, fresh","Rice, Grains & Bakery",https://i.fnri.dost.gov.ph/fct/library/report/3103
FC000691,batch-1,FNRI,A142,"Noodles, wheat, inst, w/ flvr","Rice, Grains & Bakery",https://i.fnri.dost.gov.ph/fct/library/report/3104
FC000692,batch-1,FNRI,A144,"Noodles, wheat, thin","Rice, Grains & Bakery",https://i.fnri.dost.gov.ph/fct/library/report/3106
FC000693,batch-1,FNRI,A146,"Noodles, wheat, miki, dry","Rice, Grains & Bakery",https://i.fnri.dost.gov.ph/fct/library/report/3108
FC000694,batch-1,FNRI,A151,Pancake,"Rice, Grains & Bakery",https://i.fnri.dost.gov.ph/fct/library/report/3113
FC000695,batch-1,FNRI,A156,"Popcorn, salted","Rice, Grains & Bakery",https://i.fnri.dost.gov.ph/fct/library/report/3118
FC000696,batch-1,FNRI,A157,"Popcorn, sweetn","Rice, Grains & Bakery",https://i.fnri.dost.gov.ph/fct/library/report/3119
FC000697,batch-1,FNRI,A169,"Rice cake (glutinous), biko, w/ grtd coconut topping","Rice, Grains & Bakery",https://i.fnri.dost.gov.ph/fct/library/report/3131
FC000698,batch-1,FNRI,A170,"Rice cake (glutinous), biko, w/ purple rice","Rice, Grains & Bakery",https://i.fnri.dost.gov.ph/fct/library/report/3132
FC000699,batch-1,FNRI,A171,"Rice cake (glutinous), Chinese, tikoy","Rice, Grains & Bakery",https://i.fnri.dost.gov.ph/fct/library/report/3133
FC000700,batch-1,FNRI,A172,"Rice cake (glutinous), Chinese, tikoy, w/ peanut","Rice, Grains & Bakery",https://i.fnri.dost.gov.ph/fct/library/report/3134
FC000701,batch-1,FNRI,A174,"Rice cake, bibingka, w/ cheese & coconut topping","Rice, Grains & Bakery",https://i.fnri.dost.gov.ph/fct/library/report/3136
FC000702,batch-1,FNRI,A176,"Rice cake, puto, brown","Rice, Grains & Bakery",https://i.fnri.dost.gov.ph/fct/library/report/3138
FC000703,batch-1,FNRI,A178,"Rice cake, puto, white, w/ grtd coconut topping","Rice, Grains & Bakery",https://i.fnri.dost.gov.ph/fct/library/report/3140
FC000704,batch-1,FNRI,A180,"Rice cake, cuchinta, w/ grtd coconut topping","Rice, Grains & Bakery",https://i.fnri.dost.gov.ph/fct/library/report/3142
FC000705,batch-1,FNRI,A181,Rice flour,"Rice, Grains & Bakery",https://i.fnri.dost.gov.ph/fct/library/report/3143
FC000706,batch-1,FNRI,A182,"Rice flour prep, tamales","Rice, Grains & Bakery",https://i.fnri.dost.gov.ph/fct/library/report/3144
FC000707,batch-1,FNRI,A183,"Rice gruel, thin","Rice, Grains & Bakery",https://i.fnri.dost.gov.ph/fct/library/report/3145
FC000708,batch-1,FNRI,A184,"Rice prep (glutinous), butse, w/ mung bean filling","Rice, Grains & Bakery",https://i.fnri.dost.gov.ph/fct/library/report/3146
FC000709,batch-1,FNRI,A185,"Rice prep (glutinous), butse, w/ sweet potato filling","Rice, Grains & Bakery",https://i.fnri.dost.gov.ph/fct/library/report/3147
FC000710,batch-1,FNRI,A186,"Rice prep (glutinous), kalamay, w/ coconut curd topping","Rice, Grains & Bakery",https://i.fnri.dost.gov.ph/fct/library/report/3148
FC000711,batch-1,FNRI,A187,"Rice prep (glutinous), kalamay, w/ yam","Rice, Grains & Bakery",https://i.fnri.dost.gov.ph/fct/library/report/3149
FC000712,batch-1,FNRI,A189,"Rice prep (glutinous), palitaw, w/ grtd  coconut & sugar","Rice, Grains & Bakery",https://i.fnri.dost.gov.ph/fct/library/report/3151
FC000713,batch-1,FNRI,A193,"Rice prep (glutinous), suman, w/ grtd coconut topping","Rice, Grains & Bakery",https://i.fnri.dost.gov.ph/fct/library/report/3155
FC000714,batch-1,FNRI,A194,"Rice prep (glutinous), tupig","Rice, Grains & Bakery",https://i.fnri.dost.gov.ph/fct/library/report/3156
FC000715,batch-1,FNRI,A195,"Rice prep, espasol","Rice, Grains & Bakery",https://i.fnri.dost.gov.ph/fct/library/report/3157
FC000716,batch-1,FNRI,A197,"Rice, crispies","Rice, Grains & Bakery",https://i.fnri.dost.gov.ph/fct/library/report/3159
FC000717,batch-1,FNRI,A198,"Rice-bread prep, toasted, puto seko","Rice, Grains & Bakery",https://i.fnri.dost.gov.ph/fct/library/report/3160
FC000718,batch-1,FNRI,A202,"Wheat flour, all-purpose, enr, bleached","Rice, Grains & Bakery",https://i.fnri.dost.gov.ph/fct/library/report/3164
FC000719,batch-1,FNRI,A203,"Wheat flour, cake flour, enr, bleached","Rice, Grains & Bakery",https://i.fnri.dost.gov.ph/fct/library/report/3165
FC000720,batch-1,FNRI,A204,"Instant noodles, chicken flvr, raw","Rice, Grains & Bakery",https://i.fnri.dost.gov.ph/fct/library/report/3166
FC000721,batch-1,FNRI,A205,"Instant noodles, chicken flvr, ckd","Rice, Grains & Bakery",https://i.fnri.dost.gov.ph/fct/library/report/3167
FC000722,batch-1,FNRI,A008,Job's tears grain,"Rice, Grains & Bakery",https://i.fnri.dost.gov.ph/fct/library/report/2970
FC000723,batch-1,FNRI,B018,"Yam, Luzon",Root Crops,https://i.fnri.dost.gov.ph/fct/library/report/3185
FC000724,batch-1,FNRI,B022,"Yam, spiny",Root Crops,https://i.fnri.dost.gov.ph/fct/library/report/3189
FC000725,batch-1,FNRI,B023,"Yam, spiny, boiled",Root Crops,https://i.fnri.dost.gov.ph/fct/library/report/3190
FC000726,batch-1,FNRI,B025,Arrowroot starch,Root Crops,https://i.fnri.dost.gov.ph/fct/library/report/3192
FC000727,batch-1,FNRI,B032,East Indian arrowroot starch,Root Crops,https://i.fnri.dost.gov.ph/fct/library/report/3199
FC000728,batch-1,FNRI,B042,"Yacon tuber, raw",Root Crops,https://i.fnri.dost.gov.ph/fct/library/report/3209
FC000729,batch-1,FNRI,B004,East Indian arrowroot,Root Crops,https://i.fnri.dost.gov.ph/fct/library/report/3171
FC000730,batch-1,FNRI,B006,Palauan,Root Crops,https://i.fnri.dost.gov.ph/fct/library/report/3173
FC000731,batch-1,FNRI,C003,"Chestnut, roasted","Legumes, Nuts & Seeds",https://i.fnri.dost.gov.ph/fct/library/report/3213
FC000732,batch-1,FNRI,C009,Coconut sport,"Legumes, Nuts & Seeds",https://i.fnri.dost.gov.ph/fct/library/report/3219
FC000733,batch-1,FNRI,C010,"Cowpea seed, dried","Legumes, Nuts & Seeds",https://i.fnri.dost.gov.ph/fct/library/report/3220
FC000734,batch-1,FNRI,C018,"Kidney bean seed, black, dried","Legumes, Nuts & Seeds",https://i.fnri.dost.gov.ph/fct/library/report/3228
FC000735,batch-1,FNRI,C022,"Kidney bean seed, white, dried","Legumes, Nuts & Seeds",https://i.fnri.dost.gov.ph/fct/library/report/3232
FC000736,batch-1,FNRI,C023,"Kidney bean seed, white, dried, boiled","Legumes, Nuts & Seeds",https://i.fnri.dost.gov.ph/fct/library/report/3233
FC000737,batch-1,FNRI,C024,"Lima bean seed, dried","Legumes, Nuts & Seeds",https://i.fnri.dost.gov.ph/fct/library/report/3234
FC000738,batch-1,FNRI,C029,"Mung bean seed, red, dried","Legumes, Nuts & Seeds",https://i.fnri.dost.gov.ph/fct/library/report/3239
FC000739,batch-1,FNRI,C030,"Mung bean seed, red, dried, boiled","Legumes, Nuts & Seeds",https://i.fnri.dost.gov.ph/fct/library/report/3240
FC000740,batch-1,FNRI,C031,"Mung bean seed, yellow, dried","Legumes, Nuts & Seeds",https://i.fnri.dost.gov.ph/fct/library/report/3241
FC000741,batch-1,FNRI,C032,"Mung bean seed, yellow, dried, boiled","Legumes, Nuts & Seeds",https://i.fnri.dost.gov.ph/fct/library/report/3242
FC000742,batch-1,FNRI,C034,Peanut w/ shell,"Legumes, Nuts & Seeds",https://i.fnri.dost.gov.ph/fct/library/report/3244
FC000743,batch-1,FNRI,C037,Peanut w/o skin,"Legumes, Nuts & Seeds",https://i.fnri.dost.gov.ph/fct/library/report/3247
FC000744,batch-1,FNRI,C039,"Pigeon pea seed, dried","Legumes, Nuts & Seeds",https://i.fnri.dost.gov.ph/fct/library/report/3249
FC000745,batch-1,FNRI,C040,"Pigeon pea seed, dried, boiled","Legumes, Nuts & Seeds",https://i.fnri.dost.gov.ph/fct/library/report/3250
FC000746,batch-1,FNRI,C042,"Rice bean seed, dried","Legumes, Nuts & Seeds",https://i.fnri.dost.gov.ph/fct/library/report/3252
FC000747,batch-1,FNRI,C045,"Soybean seed, black, dried","Legumes, Nuts & Seeds",https://i.fnri.dost.gov.ph/fct/library/report/3255
